iter	Passed	Remaining
0	0	35
1	0	32
2	0	30
3	0	32
4	0	31
5	0	30
6	1	29
7	1	29
8	1	28
9	1	28
10	1	28
11	1	27
12	1	27
13	2	27
14	2	27
15	2	26
16	2	26
17	2	26
18	2	26
19	2	26
20	3	25
21	3	25
22	3	25
23	3	25
24	3	24
25	3	24
26	3	24
27	3	24
28	4	24
29	4	24
30	4	23
31	4	23
32	4	23
33	4	23
34	4	23
35	5	23
36	5	22
37	5	22
38	5	22
39	5	22
40	5	22
41	5	22
42	6	22
43	6	21
44	6	21
45	6	21
46	6	21
47	6	21
48	6	21
49	6	20
50	7	20
51	7	20
52	7	20
53	7	20
54	7	20
55	7	20
56	7	19
57	8	19
58	8	19
59	8	19
60	8	19
61	8	19
62	8	19
63	8	18
64	9	18
65	9	18
66	9	18
67	9	18
68	9	18
69	9	17
70	9	17
71	9	17
72	10	17
73	10	17
74	10	17
75	10	17
76	10	16
77	10	16
78	10	16
79	10	16
80	11	16
81	11	16
82	11	16
83	11	15
84	11	15
85	11	15
86	11	15
87	12	15
88	12	15
89	12	15
90	12	14
91	12	14
92	12	14
93	12	14
94	12	14
95	13	14
96	13	14
97	13	13
98	13	13
99	13	13
100	13	13
101	14	13
102	14	13
103	14	13
104	14	13
105	14	12
106	14	12
107	14	12
108	14	12
109	15	12
110	15	12
111	15	12
112	15	11
113	15	11
114	15	11
115	15	11
116	16	11
117	16	11
118	16	11
119	16	11
120	16	10
121	16	10
122	17	10
123	17	10
124	17	10
125	17	10
126	17	10
127	17	9
128	17	9
129	18	9
130	18	9
131	18	9
132	18	9
133	18	9
134	18	9
135	18	8
136	19	8
137	19	8
138	19	8
139	19	8
140	19	8
141	19	8
142	19	7
143	20	7
144	20	7
145	20	7
146	20	7
147	20	7
148	20	7
149	20	6
150	20	6
151	21	6
152	21	6
153	21	6
154	21	6
155	21	6
156	21	5
157	21	5
158	22	5
159	22	5
160	22	5
161	22	5
162	22	5
163	22	4
164	22	4
165	22	4
166	23	4
167	23	4
168	23	4
169	23	4
170	23	3
171	23	3
172	23	3
173	23	3
174	24	3
175	24	3
176	24	3
177	24	3
178	24	2
179	24	2
180	24	2
181	25	2
182	25	2
183	25	2
184	25	2
185	25	1
186	25	1
187	25	1
188	26	1
189	26	1
190	26	1
191	26	1
192	26	0
193	26	0
194	26	0
195	26	0
196	27	0
197	27	0
198	27	0
199	27	0
